headword,CEFR,POS,POS2,POS3,POS4,INFO
argue,A2,v.,,,,
argument,A2,n.,,,,
army,A2,n.,,,,
arrange,A2,v.,,,,
arrangement,A2,n.,,,,
as,A2,adv.,conj.,,,
asleep,A2,adj.,,,,
assistant,A2,n.,adj.,,,
athlete,A2,n.,,,,
attack,A2,n.,v.,,,
attend,A2,v.,,,,
attention,A2,n.,exclam.,,,
attractive,A2,adj.,,,,
audience,A2,n.,,,,
author,A2,n.,,,,
available,A2,adj.,,,,
average,A2,adj.,n.,,,
avoid,A2,v.,,,,
award,A2,n.,,,,
awful,A2,adj.,,,,
back,A2,adj.,,,,
background,A2,n.,,,,
badly,A2,adv.,,,,
based,A2,adj.,,,,
bean,A2,n.,,,,
bear,A2,n.,,,,(animal)
beat,A2,v.,,,,
beef,A2,n.,,,,
before,A2,conj.,adv.,,,
behave,A2,v.,,,,
behavior,A2,n.,,,,
belong,A2,v.,,,,
belt,A2,n.,,,,
benefit,A2,n.,,,,
best,A2,adv.,n.,,,
better,A2,adv.,,,,
between,A2,adv.,,,,
billion,A2,number,,,,
biology,A2,n.,,,,
birth,A2,n.,,,,
bit,A2,n.,,,,
blank,A2,adj.,n.,,,
block,A2,n.,,,,
blood,A2,n.,,,,
blow,A2,v.,,,,
board,A2,n.,,,,
boil,A2,v.,,,,
bone,A2,n.,,,,
book,A2,v.,,,,
borrow,A2,v.,,,,
boss,A2,n.,,,,
bottom,A2,n.,adj.,,,
bowl,A2,n.,,,,
brain,A2,n.,,,,
bridge,A2,n.,,,,
bright,A2,adj.,,,,
brilliant,A2,adj.,,,,
broken,A2,adj.,,,,
brush,A2,v.,n.,,,
burn,A2,v.,,,,
businessman,A2,n.,,,,
button,A2,n.,,,,
camp,A2,n.,v.,,,
camping,A2,n.,,,,
campus,A2,n.,,,,
can2,A2,n.,,,,
candy,A2,n.,,,,
care,A2,n.,v.,,,
careful,A2,adj.,,,,
carefully,A2,adv.,,,,
carpet,A2,n.,,,,
cartoon,A2,n.,,,,
case,A2,n.,,,,
cash,A2,n.,,,,
catch,A2,v.,,,,
cause,A2,n.,v.,,,
celebrate,A2,v.,,,,
celebrity,A2,n.,,,,
cell,A2,n.,,,,
century,A2,n.,,,,
certain,A2,adj.,,,,
certainly,A2,adv.,,,,
chance,A2,n.,,,,
character,A2,n.,,,,
charity,A2,n.,,,,
chat,A2,v.,n.,,,
check,A2,n.,,,,
chef,A2,n.,,,,
chemistry,A2,n.,,,,
chip,A2,n.,,,,
choice,A2,n.,,,,
church,A2,n.,,,,
cigarette,A2,n.,,,,
circle,A2,n.,v.,,,
classical,A2,adj.,,,,
clear,A2,adj.,,,,
clearly,A2,adv.,,,,
clerk,A2,n.,,,,
climate,A2,n.,,,,
close2,A2,adj.,,,,
closed,A2,adj.,,,,
closet,A2,n.,,,,
clothing,A2,n.,,,,
cloud,A2,n.,,,,
coach,A2,n.,,,,
coast,A2,n.,,,,
code,A2,n.,,,,
colleague,A2,n.,,,,
collect,A2,v.,,,,
column,A2,n.,,,,
comedy,A2,n.,,,,
comfortable,A2,adj.,,,,
comment,A2,n.,,,,
communicate,A2,v.,,,,
community,A2,n.,,,,
compete,A2,v.,,,,
competition,A2,n.,,,,
complain,A2,v.,,,,
condition,A2,n.,,,,
conference,A2,n.,,,,
connect,A2,v.,,,,
connected,A2,adj.,,,,
consider,A2,v.,,,,
contain,A2,v.,,,,
context,A2,n.,,,,
continent,A2,n.,,,,
continue,A2,v.,,,,
control,A2,n.,v.,,,
cook,A2,n.,,,,
cookie,A2,n.,,,,
copy,A2,n.,v.,,,
corner,A2,n.,,,,
correctly,A2,adv.,,,,
count,A2,v.,,,,
couple,A2,n.,,,,
cover,A2,v.,,,,
crazy,A2,adj.,,,,
creative,A2,adj.,,,,
credit,A2,n.,,,,
crime,A2,n.,,,,
criminal,A2,n.,,,,
cross,A2,v.,n.,,,
crowd,A2,n.,,,,
crowded,A2,adj.,,,,
cry,A2,v.,,,,
curly,A2,adj.,,,,
cycle,A2,n.,v.,,,
daily,A2,adj.,,,,
danger,A2,n.,,,,
dark,A2,n.,,,,
data,A2,n.,,,,
dead,A2,adj.,,,,
deal,A2,v.,,,,
death,A2,n.,,,,
decision,A2,n.,,,,
deep,A2,adj.,,,,
definitely,A2,adv.,,,,
degree,A2,n.,,,,
dentist,A2,n.,,,,
department,A2,n.,,,,
depend,A2,v.,,,,
desert,A2,n.,,,,
designer,A2,n.,,,,
dessert,A2,n.,,,,
destroy,A2,v.,,,,
detective,A2,n.,,,,
develop,A2,v.,,,,
device,A2,n.,,,,
diary,A2,n.,,,,
differently,A2,adv.,,,,
digital,A2,adj.,,,,
direct,A2,adj.,,,,
direction,A2,n.,,,,
director,A2,n.,,,,
disagree,A2,v.,,,,
disappear,A2,v.,,,,
disaster,A2,n.,,,,
discover,A2,v.,,,,
discovery,A2,n.,,,,
discussion,A2,n.,,,,
disease,A2,n.,,,,
distance,A2,n.,,,,
divorced,A2,adj.,,,,
document,A2,n.,,,,
double,A2,adj.,det.,pron.,v.,
download,A2,v.,n.,,,
downstairs,A2,adj.,,,,
drama,A2,n.,,,,
drawing,A2,n.,,,,
dream,A2,n.,v.,,,
drive,A2,n.,,,,
driving,A2,n.,,,,
drop,A2,v.,,,,
drug,A2,n.,,,,
dry,A2,adj.,v.,,,
earn,A2,v.,,,,
earth,A2,n.,,,,
easily,A2,adv.,,,,
education,A2,n.,,,,
effect,A2,n.,,,,
either,A2,det./pron.,adv.,,,
electric,A2,adj.,,,,
electrical,A2,adj.,,,,
electricity,A2,n.,,,,
electronic,A2,adj.,,,,
elevator,A2,n.,,,,
employ,A2,v.,,,,
employee,A2,n.,,,,
employer,A2,n.,,,,
empty,A2,adj.,,,,
ending,A2,n.,,,,
energy,A2,n.,,,,
engine,A2,n.,,,,
engineer,A2,n.,,,,
enormous,A2,adj.,,,,
enter,A2,v.,,,,
environment,A2,n.,,,,
equipment,A2,n.,,,,
error,A2,n.,,,,
especially,A2,adv.,,,,
essay,A2,n.,,,,
everyday,A2,adj.,,,,
everywhere,A2,adv.,,,,
evidence,A2,n.,,,,
exact,A2,adj.,,,,
exactly,A2,adv.,,,,
excellent,A2,adj.,,,,
except,A2,prep.,,,,
exist,A2,v.,,,,
expect,A2,v.,,,,
experience,A2,n.,,,,
experiment,A2,n.,,,,
expert,A2,n.adj.,,,,
explanation,A2,n.,,,,
express,A2,v.,,,,
expression,A2,n.,,,,
extreme,A2,adj.,,,,
extremely,A2,adv.,,,,
factor,A2,n.,,,,
factory,A2,n.,,,,
fail,A2,v.,,,,
fair,A2,adj.,,,,
fan,A2,n.,,,,
farm,A2,v.,,,,
farming,A2,n.,,,,
fashion,A2,n.,,,,
fat,A2,n.,,,,
fear,A2,n.,,,,
feature,A2,n.,,,,
feed,A2,v.,,,,
female,A2,adj.,n.,,,
fever,A2,n.,,,,
fiction,A2,n.,,,,
field,A2,n.,,,,
fight,A2,v.,n.,,,
figure,A2,n.,,,,
film,A2,n.,v.,,,
final,A2,n.,,,,
finally,A2,adv.,,,,
finger,A2,n.,,,,
finish,A2,n.,,,,
fire,A2,v.,,,,
first,A2,n.,,,,
fish,A2,v.,,,,
fishing,A2,n.,,,,
fit,A2,v.,adj.,,,
fix,A2,v.,,,,
flat,A2,adj.,,,,
flu,A2,n.,,,,
fly,A2,n.,,,,
flying,A2,n.,adj.,,,
focus,A2,v.,n.,,,
following,A2,adj.,,,,
foreign,A2,adj.,,,,
forest,A2,n.,,,,
fork,A2,n.,,,,
formal,A2,adj.,,,,
fortunately,A2,adv.,,,,
forward,A2,adv.,,,,
free,A2,adv.,,,,
fresh,A2,adj.,,,,
frog,A2,n.,,,,
fun,A2,adj.,,,,
furniture,A2,n.,,,,
further,A2,adj.,,,,
future,A2,adj.,,,,
gallery,A2,n.,,,,
gap,A2,n.,,,,
garbage,A2,n.,,,,
gas,A2,n.,,,,
gate,A2,n.,,,,
general,A2,adj.,,,,
gift,A2,n.,,,,
goal,A2,n.,,,,
god,A2,n.,,,,
gold,A2,n.,adj.,,,
golf,A2,n.,,,,
good,A2,n.,,,,
government,A2,n.,,,,
grass,A2,n.,,,,
greet,A2,v.,,,,
grocery,A2,n.,,,,
ground,A2,n.,,,,
guest,A2,n.,,,,
guide,A2,n.,v.,,,
gun,A2,n.,,,,
guy,A2,n.,,,,
habit,A2,n.,,,,
half,A2,adv.,,,,
hall,A2,n.,,,,
happily,A2,adv.,,,,
have,A2,auxiliary v.,,,,
headache,A2,n.,,,,
heart,A2,n.,,,,
heat,A2,n.,v.,,,
heavy,A2,adj.,,,,
height,A2,n.,,,,
helpful,A2,adj.,,,,
hero,A2,n.,,,,
hers,A2,pron.,,,,
herself,A2,pron.,,,,
hide,A2,v.,,,,
high,A2,adv.,,,,
hill,A2,n.,,,,
himself,A2,pron.,,,,
his,A2,pron.,,,,
hit,A2,v.,n.,,,
hockey,A2,n.,,,,
hold,A2,v.,,,,
hole,A2,n.,,,,
holiday,A2,n.,,,,
home,A2,adj.,,,,
hope,A2,n.,,,,
huge,A2,adj.,,,,
human,A2,adj.,n.,,,
hurt,A2,v.,adj.,,,
ideal,A2,adj.,,,,
identify,A2,v.,,,,
ill,A2,adj.,,,,
illness,A2,n.,,,,
image,A2,n.,,,,
immediately,A2,adv.,,,,
impossible,A2,adj.,,,,
included,A2,adj.,,,,
including,A2,prep.,,,,
increase,A2,v.,n.,,,
incredible,A2,adj.,,,,
independent,A2,adj.,,,,
individual,A2,n.,adj.,,,
industry,A2,n.,,,,
informal,A2,adj.,,,,
injury,A2,n.,,,,
insect,A2,n.,,,,
inside,A2,prep.,adv.,n.,adj.,
instead,A2,adv.,,,,
instruction,A2,n.,,,,
instructor,A2,n.,,,,
instrument,A2,n.,,,,
intelligent,A2,adj.,,,,
international,A2,adj.,,,,
introduction,A2,n.,,,,
invent,A2,v.,,,,
invention,A2,n.,,,,
invitation,A2,n.,,,,
invite,A2,v.,,,,
involve,A2,v.,,,,
item,A2,n.,,,,
itself,A2,pron.,,,,
jam,A2,n.,,,,
jazz,A2,n.,,,,
jewelry,A2,n.,,,,
joke,A2,n.,v.,,,
journalist,A2,n.,,,,
jump,A2,v.,n.,,,
kid,A2,n.,,,,
kill,A2,v.,,,,
kilometer,A2,n.,,,,
king,A2,n.,,,,
knee,A2,n.,,,,
knife,A2,n.,,,,
knock,A2,v.,,,,
knowledge,A2,n.,,,,
lab,A2,n.,,,,
lady,A2,n.,,,,
lake,A2,n.,,,,
lamp,A2,n.,,,,
land,A2,v.,,,,
laptop,A2,n.,,,,
last,A2,adv.,n.,,,(final)
last,A2,v.,,,,(taking time)
later,A2,adj.,,,,
laughter,A2,n.,,,,
law,A2,n.,,,,
lawyer,A2,n.,,,,
lazy,A2,adj.,,,,
lead,A2,v.,,,,
learning,A2,n.,,,,
least,A2,det./pron.,adv.,,,
lecture,A2,n.,v.,,,
lemon,A2,n.,,,,
lend,A2,v.,,,,
less,A2,det./pron.,adv.,,,
level,A2,n.,,,,
lifestyle,A2,n.,,,,
lift,A2,v.,,,,
light,A2,v.,,,,(from the sun/a lamp)
light,A2,adj.,,,,(not heavy) 
likely,A2,adj.,,,,
link,A2,n.,v.,,,
listener,A2,n.,,,,
little,A2,adv.,,,,
lock,A2,v.,n.,,,
look,A2,n.,,,,
lost,A2,adj.,,,,
loud,A2,adj.,adv.,,,
loudly,A2,adv.,,,,
low,A2,adj.,adv.,,,
luck,A2,n.,,,,
lucky,A2,adj.,,,,
mail,A2,n.,v.,,,
major,A2,adj.,,,,
male,A2,adj.,n.,,,
manage,A2,v.,,,,
manager,A2,n.,,,,
manner,A2,n.,,,,
mark,A2,v.,n.,,,
marry,A2,v.,,,,
material,A2,n.,,,,
math,A2,n.,,,,
mathematics,A2,n.,,,,
matter,A2,n.,v.,,,
may,A2,modal,v.,,,
mayor,A2,n.,,,,
media,A2,n.,,,,
medical,A2,adj.,,,,
medicine,A2,n.,,,,
memory,A2,n.,,,,
mention,A2,v.,,,,
metal,A2,n.,,,,
method,A2,n.,,,,
middle,A2,n.,adj.,,,
might,A2,modal,v.,,,
mind,A2,n.,v.,,,
mine,A2,pron.,,,,(belongs to me)
mirror,A2,n.,,,,
missing,A2,adj.,,,,
monkey,A2,n.,,,,
moon,A2,n.,,,,
mostly,A2,adv.,,,,
motorcycle,A2,n.,,,,
movement,A2,n.,,,,
musical,A2,adj.,,,,
musician,A2,n.,,,,
myself,A2,pron.,,,,
narrow,A2,adj.,,,,
national,A2,adj.,,,,
nature,A2,n.,,,,
nearly,A2,adv.,,,,
necessary,A2,adj.,,,,
neck,A2,n.,,,,
need,A2,n.,,,,
neither,A2,det./pron.,,,,
nervous,A2,adj.,,,,
network,A2,n.,,,,
noise,A2,n.,,,,
none,A2,pron.,,,,
normal,A2,adj.,,,,
normally,A2,adv.,,,,
notice,A2,v.,n.,,,
novel,A2,n.,,,,
nowhere,A2,adv.,,,,
number,A2,v.,,,,
nut,A2,n.,,,,
offer,A2,v.,n.,,,
officer,A2,n.,,,,
oil,A2,n.,,,,
onto,A2,prep.,,,,
opportunity,A2,n.,,,,
option,A2,n.,,,,
ordinary,A2,adj.,,,,
organization,A2,n.,,,,
organize,A2,v.,,,,
original,A2,adj.,,,,
ourselves,A2,pron.,,,,
outside,A2,prep.,n.,adj.,,
oven,A2,n.,,,,
overseas,A2,adv.,,,,
own,A2,v.,,,,
owner,A2,n.,,,,
pack,A2,v.,,,,
pain,A2,n.,,,,
painter,A2,n.,,,,
palace,A2,n.,,,,
parking,A2,n.,,,,
particular,A2,adj.,,,,
pass,A2,v.,,,,
passenger,A2,n.,,,,
past,A2,adv.,,,,
patient,A2,n.,,,,
pattern,A2,n.,,,,
pay,A2,n.,,,,
peace,A2,n.,,,,
penny,A2,n.,,,,
per,A2,prep.,,,,
percent,A2,noun.,adj./adv.,,,
perform,A2,v.,,,,
perhaps,A2,adv.,,,,
permission,A2,n.,,,,
personality,A2,n.,,,,
pet,A2,n.,,,,
photograph,A2,v.,,,,
physical,A2,adj.,,,,
physics,A2,n.,,,,
pick,A2,v.,,,,
pilot,A2,n.,,,,
planet,A2,n.,,,,
plant,A2,v.,,,,
plastic,A2,n.,adj.,,,
plate,A2,n.,,,,
platform,A2,n.,,,,
please,A2,v.,,,,
pleased,A2,adj.,,,,
pocket,A2,n.,,,,
polite,A2,adj.,,,,
pollution,A2,n.,,,,
pop,A2,n.,adj.,,,
population,A2,n.,,,,
position,A2,n.,,,,
possession,A2,n.,,,,
possibility,A2,n.,,,,
poster,A2,n.,,,,
power,A2,n.,,,,
predict,A2,v.,,,,
present,A2,v.,,,,
president,A2,n.,,,,
prevent,A2,v.,,,,
print,A2,v.,,,,
printer,A2,n.,,,,
prison,A2,n.,,,,
prize,A2,n.,,,,
process,A2,n.,,,,
produce,A2,v.,,,,
professional,A2,adj.,,,,
professor,A2,n.,,,,
profile,A2,n.,,,,
progress,A2,n.,,,,
promise,A2,v.,n.,,,
pronounce,A2,v.,,,,
protect,A2,v.,,,,
provide,A2,v.,,,,
public,A2,adj.,n.,,,
publish,A2,v.,,,,
pull,A2,v.,,,,
purpose,A2,n.,,,,
push,A2,v.,,,,
quality,A2,n.,,,,
quantity,A2,n.,,,,
queen,A2,n.,,,,
question,A2,v.,,,,
quietly,A2,adv.,,,,
race,A2,n.,v.,,,(competition)
railroad,A2,n.,,,,
raise,A2,v.,,,,
rate,A2,n.,,,,
rather,A2,adv.,,,,
reach,A2,v.,,,,
react,A2,v.,,,,
realize,A2,v.,,,,
receive,A2,v.,,,,
recent,A2,adj.,,,,
recently,A2,adv.,,,,
reception,A2,n.,,,,
recipe,A2,n.,,,,
recognize,A2,v.,,,,
recommend,A2,v.,,,,
record,A2,n.,v.,,,
recording,A2,n.,,,,
recycle,A2,v.,,,,
reduce,A2,v.,,,,
refer,A2,v.,,,,
refrigerator,A2,n.,,,,
refuse,A2,v.,,,,
region,A2,n.,,,,
regular,A2,adj.,,,,
relationship,A2,n.,,,,
remove,A2,v.,,,,
repair,A2,v.,,,,
replace,A2,v.,,,,
reply,A2,v.,n.,,,
report,A2,v.,,,,
reporter,A2,n.,,,,
request,A2,n.,,,,
research,A2,n.,v.,,,
researcher,A2,n.,,,,
respond,A2,v.,,,,
response,A2,n.,,,,
rest,A2,n.,,,,(remaining part)
rest,A2,n.,v.,,,(sleep relax)
review,A2,n.,v.,,,
ride,A2,n.,,,,
ring,A2,n.,,,,
ring,A2,v.,,,,
rise,A2,v.,,,,
rock,A2,n.,,,,(stone)
rock,A2,n.,,,,(music)
role,A2,n.,,,,
roof,A2,n.,,,,
round,A2,adj.,adv.,prep.,,
route,A2,n.,,,,
rude,A2,adj.,,,,
run,A2,n.,,,,
runner,A2,n.,,,,
running,A2,n.,,,,
sadly,A2,adv.,,,,
safe,A2,adj.,,,,
sail,A2,v.,,,,
sailing,A2,n.,,,,
salary,A2,n.,,,,
sale,A2,n.,,,,
sauce,A2,n.,,,,
save,A2,v.,,,,
scared,A2,adj.,,,,
scary,A2,adj.,,,,
scene,A2,n.,,,,
schedule,A2,n.,,,,
score,A2,v.,n.,,,
screen,A2,n.,,,,
sea,A2,n.,,,,
search,A2,n.,v.,,,
season,A2,n.,,,,
seat,A2,n.,,,,
second,A2,adv.,,,,(next after the first)
secret,A2,adj.,n.,,,
secretary,A2,n.,,,,
seem,A2,v.,,,,
sense,A2,n.,,,,
separate,A2,adj.,,,,
series,A2,n.,,,,
serious,A2,adj.,,,,
serve,A2,v.,,,,
service,A2,n.,,,,
several,A2,det./pron.,,,,
shake,A2,v.,,,,
shape,A2,n.,,,,
sheet,A2,n.,,,,
ship,A2,n.,,,,
shoulder,A2,n.,,,,
shout,A2,v.,n.,,,
shut,A2,v.,adj.,,,
side,A2,n.,,,,
sign,A2,n.,v.,,,
silver,A2,n.,adj.,,,
simple,A2,adj.,,,,
since,A2,prep.,conj.,,,
singing,A2,n.,,,,
single,A2,adj.,n.,,,
sir,A2,n.,,,,
site,A2,n.,,,,
size,A2,n.,,,,
ski,A2,v.,adj.,n.,,
skiing,A2,n.,,,,
skin,A2,n.,,,,
sky,A2,n.,,,,
sleep,A2,n.,,,,
slowly,A2,adv.,,,,
smartphone,A2,n.,,,,
smell,A2,v.,n.,,,
smile,A2,v.,n.,,,
smoke,A2,n.,v.,,,
smoking,A2,n.,,,,
sneaker,A2,n.,,,,
soap,A2,n.,,,,
soccer,A2,n.,,,,
social,A2,adj.,,,,
sock,A2,n.,,,,
soft,A2,adj.,,,,
soldier,A2,n.,,,,
solution,A2,n.,,,,
solve,A2,v.,,,,
somewhere,A2,adv.,pron.,,,
sort,A2,n.,,,,
source,A2,n.,,,,
speaker,A2,n.,,,,
specific,A2,adj.,,,,
speech,A2,n.,,,,
speed,A2,n.,,,,
spider,A2,n.,,,,
spoon,A2,n.,,,,
square,A2,adj.,n.,,,
stage,A2,n.,,,,
stair,A2,n.,,,,
stamp,A2,n.,,,,
star,A2,v.,,,,
start,A2,n.,,,,
state,A2,n.,,,,
stay,A2,n.,,,,
steal,A2,v.,,,,
step,A2,n.,,,,
stomach,A2,n.,,,,
stone,A2,n.,,,,
storm,A2,n.,v.,,,
stove,A2,n.,,,,
straight,A2,adv.,adj.,,,
strange,A2,adj.,,,,
strategy,A2,n.,,,,
stress,A2,n.,v.,,,
structure,A2,n.,,,,
stupid,A2,adj.,,,,
subway,A2,n.,,,,
succeed,A2,v.,,,,
successful,A2,adj.,,,,
such,A2,det./pron.,,,,
suddenly,A2,adv.,,,,
suggest,A2,v.,,,,
suggestion,A2,n.,,,,
suit,A2,n.,,,,
support,A2,v.,n.,,,
suppose,A2,v.,,,,
sure,A2,adv.,,,,
surprise,A2,n.,v.,,,
surprised,A2,adj.,,,,
surprising,A2,adj.,,,,
survey,A2,n.,,,,
sweet,A2,adj.,n.,,,
symbol,A2,n.,,,,
system,A2,n.,,,,
tablet,A2,n.,,,,
talk,A2,n.,,,,
target,A2,n.,,,,
task,A2,n.,,,,
taste,A2,n.,v.,,,
teaching,A2,n.,,,,
technology,A2,n.,,,,
teenage,A2,adj.,,,,
temperature,A2,n.,,,,
term,A2,n.,,,,
text,A2,v.,,,,
themselves,A2,pron.,,,,
thick,A2,adj.,,,,
thief,A2,n.,,,,
thin,A2,adj.,,,,
thinking,A2,n.,,,,
third,A2,n.,,,,
thought,A2,n.,,,,
throw,A2,v.,,,,
tie,A2,v.,n.,,,
tip,A2,n.,,,,
tool,A2,n.,,,,
top,A2,n.,adj.,,,
touch,A2,v.,,,,
tour,A2,n.,,,,
tourism,A2,n.,,,,
toward,A2,prep.,,,,
towel,A2,n.,,,,
tower,A2,n.,,,,
toy,A2,n.,adj.,,,
track,A2,n.,,,,
tradition,A2,n.,,,,
traditional,A2,adj.,,,,
train,A2,v.,,,,
training,A2,n.,,,,
transportation,A2,n.,,,,
trash,A2,n.,,,,
traveler,A2,n.,,,,
trouble,A2,n.,,,,
twin,A2,n.,adj.,,,
typical,A2,adj.,,,,
underground,A2,adj.,adv.,,,
understanding,A2,n.,,,,
unfortunately,A2,adv.,,,,
unhappy,A2,adj.,,,,
uniform,A2,n.,,,,
unit,A2,n.,,,,
united,A2,adj.,,,,
unusual,A2,adj.,,,,
upstairs,A2,adj.,,,,
use,A2,n.,,,,
used,A2,to,modal,v.,,
user,A2,n.,,,,
usual,A2,adj.,,,,
valley,A2,n.,,,,
variety,A2,n.,,,,
vehicle,A2,n.,,,,
view,A2,n.,,,,
village,A2,n.,,,,
virus,A2,n.,,,,
voice,A2,n.,,,,
wait,A2,n.,,,,
war,A2,n.,,,,
wash,A2,n.,,,,
washing,A2,n.,,,,
wave,A2,n.,,,,
weak,A2,adj.,,,,
web,A2,n.,,,,
wedding,A2,n.,,,,
weight,A2,n.,,,,
welcome,A2,n.,,,,
wet,A2,adj.,,,,
wheel,A2,n.,,,,
while,A2,conj.,,,,
whole,A2,adj.,,,,
whose,A2,det./pron.,,,,
wide,A2,adj.,,,,
wild,A2,adj.,,,,
wind,A2,n.,,,,
winner,A2,n.,,,,
wish,A2,v,n.,,,
wood,A2,n.,,,,
wooden,A2,adj.,,,,
working,A2,adj.,,,,
worried,A2,adj.,,,,
worry,A2,v.,,,,
worse,A2,adj.,,,,
worst,A2,adj.,,,,
wow,A2,exclam.,,,,
yet,A2,adv.,,,,
yours,A2,pron.,,,,
zero,A2,number,,,,
absolutely,B1,adv.,,,,
academic,B1,adj.,,,,
access,B1,n.,v.,,,
account,B1,n.,,,,
achievement,B1,n.,,,,
act,B1,n.,,,,
ad,B1,n.,,,,
addition,B1,n.,,,,
administration,B1,n.,,,,
admire,B1,v.,,,,
admit,B1,v.,,,,
advanced,B1,adj.,,,,
advise,B1,v.,,,,
afford,B1,v.,,,,
age,B1,v.,,,,
agent,B1,n.,,,,
agreement,B1,n.,,,,
ahead,B1,adv.,,,,
aim,B1,v.,n.,,,
alarm,B1,n.,,,,
album,B1,n.,,,,
alcohol,B1,n.,,,,
alcoholic,B1,adj.,,,,
alternative,B1,adj.,,,,
amazed,B1,adj.,,,,
ambition,B1,n.,,,,
analysis,B1,n.,,,,
announce,B1,v.,,,,
announcement,B1,n.,,,,
annoy,B1,v.,,,,
annoyed,B1,adj.,,,,
annoying,B1,adj.,,,,
apart,B1,adv.,,,,
apologize,B1,v.,,,,
application,B1,n.,,,,
appointment,B1,n.,,,,
appreciate,B1,v.,,,,
approximately,B1,adv.,,,,
arrest,B1,v.,n.,,,
arrival,B1,n.,,,,
assignment,B1,n.,,,,
assist,B1,v.,,,,
atmosphere,B1,n.,,,,
attach,B1,v.,,,,
attitude,B1,n.,,,,
attract,B1,v.,,,,
attraction,B1,n.,,,,
authority,B1,n.,,,,
automatic,B1,adj.,,,,
automatically,B1,adv.,,,,
average,B1,v.,,,,
award,B1,v.,,,,
aware,B1,adj.,,,,
backward,B1,adv.,,,,
bake,B1,v.,,,,
balance,B1,n.,v.,,,
ban,B1,v.,n.,,,
bank,B1,n.,,,,(river)
base,B1,n.,v.,,,
basic,B1,adj.,,,,
basis,B1,n.,,,,
battery,B1,n.,,,,
battle,B1,n.,,,,
beauty,B1,n.,,,,
bee,B1,n.,,,,
belief,B1,n.,,,,
bell,B1,n.,,,,
bend,B1,v.,n.,,,
benefit,B1,v.,,,,
better,B1,n.,,,,
bite,B1,v.,n.,,,
block,B1,v.,,,,
board,B1,v.,,,,
bomb,B1,n.,v.,,,
border,B1,n.,,,,
bother,B1,v.,,,,
branch,B1,n.,,,,
brand,B1,n.,v.,,,
brave,B1,adj.,,,,
breath,B1,n.,,,,
breathe,B1,v.,,,,
breathing,B1,n.,,,,
bride,B1,n.,,,,
bubble,B1,n.,,,,
bury,B1,v.,,,,
by,B1,adv.,,,,
cable,B1,n.,,,,
calm,B1,adj.,v.,n.,,
campaign,B1,n.,v.,,,
candidate,B1,n.,,,,
cap,B1,n.,,,,
captain,B1,n.,,,,
careless,B1,adj.,,,,
category,B1,n.,,,,
ceiling,B1,n.,,,,
celebration,B1,n.,,,,
center,B1,v.,,,,
central,B1,adj.,,,,
ceremony,B1,n.,,,,
chain,B1,n.,,,,
challenge,B1,n.,,,,
champion,B1,n.,,,,
channel,B1,n.,,,,
chapter,B1,n.,,,,
charge,B1,n.,v.,,,
cheap,B1,adv.,,,,
cheat,B1,v.,n.,,,
cheerful,B1,adj.,,,,
chemical,B1,adj.,n.,,,
chest,B1,n.,,,,
childhood,B1,n.,,,,
claim,B1,v.,n.,,,
clause,B1,n.,,,,
clear,B1,v.,,,,
clever,B1,adj.,,,,
click,B1,v.,n.,,,
client,B1,n.,,,,
climb,B1,n.,,,,
